,Name,Summary,Stock Type,Site,Market Cap,Net Income,Sales,Employees,Sector,Industry
COTY,Coty Inc Class A,"Coty Inc is a pure play beauty company with a portfolio of brands that compete in the three segments in which it operate: Fragrances, Color Cosmetics and Skin & Body Care.",Slow,http://www.coty.com,14.0Bil,31.2Mil,4.3Bil,"10,060",Consumer Defensive,Household & Personal Products
CUZ,Cousins Properties Inc,"Cousins Properties Inc is a self-administered & self-managed real estate investment trust. The Company along with its subsidiaries is engaged in developing, acquiring, leasing, managing and owning office properties & opportunistic mixed-use developments.",Hard,http://www.cousinsproperties.com,3.1Bil,99.0Mil,0.4Bil,257,Real Estate,REIT - Diversified
CVA,Covanta Holding Corp,"Covanta Holding Corp is a developer, owner and operator of infrastructure for the conversion of waste to energy known as 'energy-from-waste', as well as other waste disposal and renewable energy production businesses.",High,http://www.covantaenergy.com,1.9Bil,65.0Mil,1.7Bil,"3,800",Industrials,Waste Management
CPF,Central Pacific Financial Corp,"Central Pacific Financial Corp is a bank holding company. The Company, through its subsidiary, Central Pacific Bank, offers commercial banking services. Its products and services include loans and deposits.",Cyclical,http://www.centralpacificbank.com,0.9Bil,45.7Mil,0.2Bil,876,Financial Services,Banks - Regional - US
CPL,CPFL Energia SA ADR,"CPFL Energy SA, through its holdings, is engaged in distribution, generation & commercialization of electric energy in Brazil.",,http://www.cpfl.com.br,7.2Bil,0.3Bil,5.4Bil,"9,890",Utilities,Utilities - Regulated Electric
CR,Crane Co,"Crane Co is a diversified manufacturer of engineered industrial products. Its segments include fluid handling, payment & merchandising technologies, aerospace & electronics and engineered materials.",Cyclical,http://www.craneco.com,4.3Bil,0.3Bil,2.7Bil,"11,200",Industrials,Diversified Industrials
BAP,Credicorp Ltd,"Credicorp Ltd through its banking and non-banking subsidiaries, provides financial and health services and products. It operates in four segments namely Banking, Insurance, Pension fund and Investment banking.",,http://www.credicorpnet.com,14.4Bil,1.0Bil,4.1Bil,"32,828",Financial Services,Banks - Regional - Latin America
CS,Credit Suisse Group AG ADR,Credit Suisse Group AG provides banking and financial services. It operates in two segments; Private Banking & Wealth Management and Investment Banking.,,http://www.credit-suisse.com,29.2Bil,-5851.4Mil,19.1Bil,"47,690",Financial Services,Banks - Global
CPG,Crescent Point Energy Corp,Crescent Point Energy Corp is involved in acquiring and holding interests in petroleum and natural gas properties and assets related through a general partnership and wholly owned subsidiaries.,,http://www.crescentpointenergy.com,6.2Bil,-595.0Mil,1.9Bil,"1,072",Energy,Oil & Gas E&P
CEQP,Crestwood Equity Partners LP,"Crestwood Equity Partners LP THAT develops, acquires, owns or controls, and operates fee-based assets and operations within the energy midstream sector.",Hard,http://www.crestwoodlp.com,1.6Bil,-1576.9Mil,2.4Bil,"1,300",Energy,Oil & Gas Midstream
CRH,CRH PLC ADR,CRH PLC is a manufacturer and distributor of building materials products from the fundamentals of heavy materials and elements to construct the frame.,,http://www.crh.com,27.8Bil,1.0Bil,28.5Bil,"78,106",Basic Materials,Building Materials
CRT,Cross Timbers Royalty Trust,Cross Timbers Royalty Trust operates as an express trust in the United States.,Hard,http://www.crt-crosstimbers.com,0.1Bil,6.5Mil,7.9Mil,2,Energy,Oil & Gas E&P
