,Precision,Recall
Communication Services,0.333333333333,0.2
Industrials,0.423076923077,0.305555555556
Consumer Cyclical,0.470085470085,0.61797752809
Consumer Defensive,0.304347826087,0.233333333333
Energy,0.824561403509,0.88679245283
Real Estate,0.888888888889,0.905660377358
Utilities,0.695652173913,0.571428571429
Financial Services,0.818181818182,0.737704918033
Healthcare,0.413793103448,0.387096774194
Basic Materials,0.428571428571,0.409090909091
Technology,0.406779661017,0.521739130435
