MSFT US Equity,,,ENVA US Equity,,,CL US Equity,
Date,Closing Price,,Date,Closing Price,,Date,Closing Price
2/5/2014,35.82,,2/26/2015,23.08,,2/5/2014,60.42
2/6/2014,36.18,,2/27/2015,23.09,,2/6/2014,60.6
2/7/2014,36.56,,3/2/2015,23.18,,2/7/2014,60.86
2/10/2014,36.8,,3/3/2015,23.73,,2/10/2014,61.52
2/11/2014,37.175,,3/4/2015,23.49,,2/11/2014,62.4
2/12/2014,37.47,,3/5/2015,23.63,,2/12/2014,61.92
2/13/2014,37.61,,3/6/2015,23.34,,2/13/2014,62.31
2/14/2014,37.62,,3/9/2015,22.95,,2/14/2014,62.68
2/18/2014,37.42,,3/10/2015,22.8,,2/18/2014,62.39
2/19/2014,37.51,,3/11/2015,22.9,,2/19/2014,61.53
2/20/2014,37.75,,3/12/2015,22.99,,2/20/2014,61.86
2/21/2014,37.98,,3/13/2015,23,,2/21/2014,61.56
2/24/2014,37.69,,3/16/2015,22.99,,2/24/2014,61.95
2/25/2014,37.54,,3/17/2015,22.99,,2/25/2014,62.07
2/26/2014,37.47,,3/18/2015,23.24,,2/26/2014,61.95
